"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 02:51:50 UTC 2023","Tue Nov 07 02:51:53 UTC 2023","3404","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Nov 07 03:02:24 UTC 2023","Tue Nov 07 03:03:30 UTC 2023","66358","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Nov 07 02:32:17 UTC 2023","Tue Nov 07 02:32:27 UTC 2023","9656","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Nov 07 03:32:35 UTC 2023","Tue Nov 07 03:32:49 UTC 2023","13968","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Nov 07 03:00:33 UTC 2023","Tue Nov 07 03:00:41 UTC 2023","8515","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Nov 07 03:13:15 UTC 2023","Tue Nov 07 03:13:17 UTC 2023","1668","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Nov 07 04:06:50 UTC 2023","Tue Nov 07 04:06:56 UTC 2023","5408","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Nov 07 02:32:48 UTC 2023","Tue Nov 07 02:32:56 UTC 2023","7088","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Nov 07 04:09:00 UTC 2023","Tue Nov 07 04:09:47 UTC 2023","46562","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Nov 07 03:26:10 UTC 2023","Tue Nov 07 03:27:14 UTC 2023","64255","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Nov 07 03:32:04 UTC 2023","Tue Nov 07 03:32:16 UTC 2023","11556","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Nov 07 03:16:35 UTC 2023","Tue Nov 07 03:16:37 UTC 2023","1703","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Nov 07 04:07:29 UTC 2023","Tue Nov 07 04:08:44 UTC 2023","75008","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Nov 07 02:40:36 UTC 2023","Tue Nov 07 02:40:40 UTC 2023","3721","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Tue Nov 07 04:08:58 UTC 2023","Tue Nov 07 04:09:00 UTC 2023","1975","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Nov 07 02:40:40 UTC 2023","Tue Nov 07 02:40:40 UTC 2023","163","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Nov 07 04:18:59 UTC 2023","Tue Nov 07 04:19:01 UTC 2023","2351","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Nov 07 03:12:33 UTC 2023","Tue Nov 07 03:12:33 UTC 2023","383","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Nov 07 03:46:26 UTC 2023","Tue Nov 07 03:46:32 UTC 2023","5977","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Nov 07 02:43:08 UTC 2023","Tue Nov 07 02:43:16 UTC 2023","8342","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Nov 07 02:51:53 UTC 2023","Tue Nov 07 02:52:57 UTC 2023","63835","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Nov 07 02:48:44 UTC 2023","Tue Nov 07 02:48:51 UTC 2023","7513","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Nov 07 03:13:12 UTC 2023","Tue Nov 07 03:13:15 UTC 2023","3251","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Nov 07 03:16:37 UTC 2023","Tue Nov 07 03:16:37 UTC 2023","329","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Nov 07 03:37:26 UTC 2023","Tue Nov 07 03:41:38 UTC 2023","251578","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Nov 07 02:35:12 UTC 2023","Tue Nov 07 02:36:20 UTC 2023","67659","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Nov 07 03:16:17 UTC 2023","Tue Nov 07 03:16:35 UTC 2023","18228","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Nov 07 02:42:49 UTC 2023","Tue Nov 07 02:43:08 UTC 2023","18606","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Nov 07 03:44:19 UTC 2023","Tue Nov 07 03:44:29 UTC 2023","9900","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Nov 07 03:25:35 UTC 2023","Tue Nov 07 03:26:08 UTC 2023","32421","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Nov 07 02:56:17 UTC 2023","Tue Nov 07 02:56:29 UTC 2023","11890","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Nov 07 02:43:21 UTC 2023","Tue Nov 07 02:43:46 UTC 2023","24676","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
